,date,first_visited_time,first_visited_chrome_title,last_visited_time,last_visited_chrome_title,total_school_keyword_count,uva,canvas,zzb2rf,drive,last_school_keyword_visit_time
234,2024-10-15,13:27:51,Amazon.com. Spend less. Smile more.,22:00:05,Dashboard,54,5,36,1,12,22:00:05
235,2024-10-16,12:29:44,Amazon.com. Spend less. Smile more.,21:47:26,lab02.pdf,80,22,29,5,24,21:47:26
236,2024-10-17,09:32:43,CS 4501: F1 Notes - Google Docs,23:57:10,ChatGPT,65,21,29,0,15,23:57:10
237,2024-10-18,00:01:40,sensor_msgs/LaserScan Documentation,17:15:28,space black macbook - Google Search,2,2,0,0,0,17:15:28
238,2024-10-19,11:50:25,"Apartments for Rent in Seattle, Washington | Facebook Marketplace",23:03:42,"Washington, D.C. to Marrakesh | Google Flights",4,0,0,0,4,23:03:42
239,2024-10-20,10:41:53,NetBadge Message - Loading Session Information,21:54:07,i got sick :( what i do at home + cook with me! - YouTube,30,2,23,0,5,21:54:07
240,2024-10-21,00:02:27,Home | Clipchamp,23:28:04,SQL Subquery for Sales Comparison,64,32,25,2,5,23:28:04
241,2024-10-22,10:09:21,Dashboard,21:58:21,CS 6316 Machine Learning - Support Vector Machines and Kernel Methods,38,11,20,7,0,21:58:21
242,2024-10-23,12:55:29,Dashboard,23:41:41,Kyedae (@kyedae) • Instagram photos and videos,62,6,51,0,5,23:41:41
243,2024-10-24,00:30:26,CS 4750: Homework 5 - Google Docs,22:08:32,spirit halloween - Google Shopping,60,10,47,3,0,22:08:32
244,2024-10-25,16:18:31,Fresh Guest,21:52:36,choong man chicken menu - Google Search,63,11,36,1,15,21:52:36
245,2024-10-26,17:26:06,amaon - Google Search,23:03:11,(1) YouTube,2,2,0,0,0,23:03:11
246,2024-10-27,00:18:05,Untitled video,23:39:48,how to check battery full charge capacity comparison on lenovo commerical vantag - Google Search,147,35,21,5,86,23:39:48
247,2024-10-28,10:21:56,Amazon.com. Spend less. Smile more.,23:22:17,"Coats All-Purpose Plastic Zipper 6""-Black - Walmart.com",88,23,62,3,0,23:22:17
248,2024-10-29,09:49:30,Piazza • Ask. Answer. Explore. Whenever.,23:32:58,View Submission | Gradescope,194,157,4,17,16,23:32:58
249,2024-10-30,11:13:30,HCI Assignment 1 Study - Google Sheets,23:55:46,Text to Sound Effects: Free Online AI Sound Effect Generator,149,88,61,0,0,23:55:46
250,2024-10-31,00:00:35,how to center a text box in premiere pro - Google Search,15:48:12,Files,21,2,17,0,2,15:48:12
251,2024-11-01,10:06:34,"Inbox (6,648) - elzhang066@gmail.com - Gmail",19:24:22,amazon delivery driver - Google Search,46,10,19,4,13,19:24:22
252,2024-11-02,13:13:04,CS 6501: Project Proposal - Online LaTeX Editor Overleaf,17:40:40,Project Progress Presentation - Google Slides,12,2,4,0,6,17:40:40
253,2024-11-03,12:15:21,Piazza • Ask. Answer. Explore. Whenever.,23:56:33,et al - Google Search,77,59,11,2,5,23:56:33
254,2024-11-04,00:00:54,STS Discussion Brainstorm - Google Docs,18:58:10,Python Releases for Windows | Python.org,151,101,50,0,0,18:58:10
255,2024-11-05,11:31:53,CS 4750: Homework 6 - Google Docs,15:42:26,Gmail,13,2,11,0,0,15:42:26
256,2024-11-06,13:57:36,NetBadge Message - Loading Session Information,23:59:41,Project Progress Presentation - Google Slides,54,12,28,4,10,23:59:41
257,2024-11-07,00:00:27,Project Progress Presentation - Google Slides,22:52:49,Research Questions on Wearables,29,2,17,0,10,22:52:49
258,2024-11-08,00:29:53,GitHub,21:48:37,Online Return Center,50,2,45,3,0,21:48:37
259,2024-11-09,18:28:43,Online Return Center,19:50:40,R10: Notes - Google Docs,42,0,26,0,16,19:50:40
260,2024-11-10,13:42:46,R10 Reading Response.docx - Google Docs,23:40:10,151 Booster Pack - SV: Scarlet & Violet 151 - Pokemon,37,2,20,0,15,23:40:10
261,2024-11-11,00:06:03,Topic: Question Formation Exercise #10,23:33:11,YouTube,86,4,33,2,47,23:33:11
262,2024-11-12,00:23:48,Piazza • Ask. Answer. Explore. Whenever.,22:52:21,Apartments For Rent in Bellevue WA - Updated Daily | Zillow,20,4,16,0,0,22:52:21
263,2024-11-13,09:49:05,NetBadge Message - Loading Session Information,22:50:27,CS_ 6316-001 (41 unread) | Piazza QA,94,6,59,0,29,22:50:27
264,2024-11-14,09:36:26,CS 4501: F1 Notes - Google Docs,18:20:07,what is natural leather - Google Search,116,25,54,0,37,18:20:07
265,2024-11-15,21:47:49,CS 4750: Homework 8 - Google Docs,23:39:21,Week 3: What is Technology Anyway?: STS and Engineering Practice Sec 015 Fall 2024,51,2,49,0,0,23:39:21
266,2024-11-16,12:33:33,Research Summary - Google Docs,22:52:27,"Appointment booked: F1Tenth Rice 242 Reservation (Elaine Zhang) @ Tue Nov 19, 2024 7pm - 8pm (EST) (elzhang066@gmail.com) - elzhang066@gmail.com - Gmail",5,4,1,0,0,22:52:27
267,2024-11-17,13:55:16,"Inbox (6,776) - elzhang066@gmail.com - Gmail",23:06:23,HAI-lab-UVA/anxiety-zhang: Phase 1 GAD score analysis done by Elaine Zhang,105,65,0,5,35,23:06:23
268,2024-11-18,09:47:34,healthy hoos - Google Search,18:50:22,Townhomes For Rent in Seattle WA - 327 Rentals | Zillow,159,117,29,0,13,18:50:22
269,2024-11-19,09:50:02,NetBadge Message - Loading Session Information,23:15:51,CS 4750: Homework 7 - Google Docs,95,15,74,0,6,23:15:51
270,2024-11-20,00:05:53,Files,22:24:54,CS 3120 Dashboard | Gradescope,25,18,2,0,5,22:24:54
271,2024-11-21,10:27:40,CS 3100 Dashboard | Gradescope,22:12:26,Canvas LMS,50,4,44,0,2,22:12:26
272,2024-11-22,11:48:19,NetBadge Message - Loading Session Information,19:37:43,rivanna trail riverview park - Google Search,24,2,15,0,7,19:37:43
273,2024-11-23,16:21:08,Home Page - Select or create a notebook,17:39:38,Not Jessica Caban Giving Some Tea 🍵 : r/BrunoMars,0,0,0,0,0,17:39:38
274,2024-11-24,16:05:13,Home Page - Select or create a notebook,21:48:49,resume - elzhang066@gmail.com - Gmail,12,0,0,0,12,21:48:49
275,2024-11-25,10:11:46,buffbunny - Google Search,20:52:28,Text Copy Challenge,37,2,21,0,14,20:52:28
276,2024-11-26,10:21:03,how to use postman to test api - Google Search,20:59:12,knitting | 뽀얀 봄을 오래도록 | Old Fashioned Cardigan - YouTube,12,12,0,0,0,20:59:12
277,2024-11-27,11:05:39,*Sealed* Pokemon Obsidian Flames CHARMANDER 044 Black Star Promo Card MINT-NM | eBay,20:16:48,Place Your Order - Amazon Checkout,20,20,0,0,0,20:16:48
278,2024-11-28,00:04:19,NetBadge Message - Loading Session Information,23:51:48,"‼️SPILL THE TEA w 🇰🇷Korean Bag Shopping 🛍️-Honest opinions ONLY | StandOil, OSOI, Samo Ondoh etc. - YouTube",14,9,0,5,0,23:51:48
279,2024-11-29,09:50:43,"Inbox (6,876) - elzhang066@gmail.com - Gmail",23:08:17,FRAME Coffee Roasters - Google Maps,27,2,13,0,12,23:08:17
280,2024-11-30,09:49:17,zoom - Google Search,12:21:35,View Submission | Gradescope,34,4,7,0,23,12:21:35
281,2024-12-01,13:11:33,External Seminar Report - Google Docs,22:54:31,STS Prospectus Presentation - Google Slides,63,15,31,5,12,22:54:31
282,2024-12-02,10:28:48,figma - Google Search,22:40:38,View Submission | Gradescope,109,5,56,1,47,22:40:38
283,2024-12-03,09:47:31,External Seminar Report - Google Docs,23:58:11,Text Copy Challenge,19,0,0,0,19,23:58:11
284,2024-12-04,00:26:49,Results - Google Sheets,20:46:03,fatiguing - Google Search,108,54,34,8,12,20:46:03
285,2024-12-05,10:29:06,Google,22:31:15,HCI Final Presentation - Google Slides,39,11,17,0,11,22:31:15
286,2024-12-06,08:52:47,Your AdBlock has been updated!,12:35:10,CS_ 4501-006 (24 unread) | Piazza QA,17,7,9,1,0,12:35:10
287,2024-12-07,10:18:19,Sent Mail - elzhang066@gmail.com - Gmail,23:59:52,"You asked, we answered: Can too much screen time cause dry eyes? | Nebraska Medicine Omaha, NE",24,12,4,8,0,23:59:52
288,2024-12-08,00:00:08,ChatGPT,23:45:25,Scheduled (1) - zzb2rf@virginia.edu - UVa Mail,60,31,10,19,0,23:45:25
289,2024-12-09,11:16:21,Home Page - Select or create a notebook,22:32:01,5_7_24_leave_one_week_out - Jupyter Notebook,31,31,0,0,0,22:32:01
290,2024-12-10,11:10:40,Home Page - Select or create a notebook,17:37:35,Your session has timed out.,146,128,0,18,0,17:37:35
291,2024-12-11,14:23:47,"UVa Class Schedule - Complete Schedule for the Computer Science Program - Fall 2024 (Unofficial, Lou's List)",22:55:57,View Submission | Gradescope,62,57,0,0,5,22:55:57
292,2024-12-12,09:55:10,YouTube,23:56:27,12_8_24_leave_one_patient_out - Jupyter Notebook,86,67,7,12,0,23:56:27
293,2024-12-13,00:03:33,Home - Canva,23:37:59,Moodring - Anxiety - Online LaTeX Editor Overleaf,22,16,0,0,6,23:37:59
294,2024-12-14,00:21:37,Your Courses | Gradescope,22:49:16,can i put green onions in mashed potatoes - Google Search,0,0,0,0,0,22:49:16
295,2024-12-15,01:21:03,By the numbers: ratings and utilization of behavioral health mobile applications - PubMed,23:07:21,12_8_24_accumulate_weeks - Jupyter Notebook,0,0,0,0,0,23:07:21
296,2024-12-16,14:49:15,CS 3120 Dashboard | Gradescope,23:45:34,Easy crochet baggy balaclava tutorial I Beginner friendly loose fit hood tutorial - YouTube,0,0,0,0,0,23:45:34
297,2024-12-17,00:09:57,CS 3120 Dashboard | Gradescope,14:51:51,Gad questions - 600 × 600px - Canva,13,13,0,0,0,14:51:51
298,2024-12-18,09:32:40,Home Page - Select or create a notebook,09:40:04,ChatGPT,0,0,0,0,0,09:40:04
299,2024-12-19,,,,,0,0,0,0,0,
300,2024-12-20,10:56:22,"Inbox (7,056) - elzhang066@gmail.com - Gmail",23:59:31,Princess Polly US Returns,0,0,0,0,0,23:59:31
301,2024-12-21,00:00:01,Princess Polly US Returns,23:27:12,Princess Polly US Returns,28,0,0,0,28,23:27:12
302,2024-12-22,19:31:17,YouTube,19:31:33,YouTube,0,0,0,0,0,19:31:33
303,2024-12-23,,,,,0,0,0,0,0,
304,2024-12-24,,,,,0,0,0,0,0,
305,2024-12-25,,,,,0,0,0,0,0,
306,2024-12-26,22:02:29,The Boys in the Boat Watch Party | Teleparty,22:02:48,Watch The Boys in The Boat | Prime Video,0,0,0,0,0,22:02:48
307,2024-12-27,15:26:25,"Inbox (7,084) - elzhang066@gmail.com - Gmail",20:47:33,YouTube,0,0,0,0,0,20:47:33
308,2024-12-28,15:44:46,michaels cotton yarn - Google Search,16:04:08,"Arts & Crafts, Frames, Seasonal Décor | DIY & Inspiration | Michaels",0,0,0,0,0,16:04:08
309,2024-12-29,,,,,0,0,0,0,0,
310,2024-12-30,10:03:34,"Restricted - Overleaf, Online LaTeX Editor",22:59:39,Watch Eternal Love of Dream | Prime Video,0,0,0,0,0,22:59:39
311,2024-12-31,,,,,0,0,0,0,0,
312,2025-01-01,19:28:58,"Teleparty | Watch together on Netflix, Youtube, HBO Max + more",20:49:10,Watch Eternal Love of Dream | Prime Video,0,0,0,0,0,20:49:10
313,2025-01-02,20:57:04,Online LaTeX Editor Overleaf,21:02:22,ChatGPT,0,0,0,0,0,21:02:22
314,2025-01-03,,,,,0,0,0,0,0,
315,2025-01-04,,,,,0,0,0,0,0,
316,2025-01-05,16:03:46,fidelity - Google Search,16:57:30,fairfax walmart - Google Search,0,0,0,0,0,16:57:30
317,2025-01-06,12:58:09,"Your Projects - Overleaf, Online LaTeX Editor",15:28:02,gad_larger_2 - 1490 × 240px - Canva,0,0,0,0,0,15:28:02
318,2025-01-07,20:20:22,leetcode - Google Search,20:22:32,LeetCode Prep - Google Docs,16,2,0,0,14,20:22:32
319,2025-01-08,,,,,0,0,0,0,0,
320,2025-01-09,,,,,0,0,0,0,0,
321,2025-01-10,,,,,0,0,0,0,0,
322,2025-01-11,,,,,0,0,0,0,0,
323,2025-01-12,,,,,0,0,0,0,0,
324,2025-01-13,,,,,0,0,0,0,0,
325,2025-01-14,19:48:39,NetBadge Message - Loading Session Information,23:26:19,Charlottesville to Boston | Google Flights,44,11,33,0,0,23:26:19
326,2025-01-15,00:42:38,student health uva - Google Search,21:20:47,ownership-transcript.pdf,88,26,40,7,15,21:20:47
327,2025-01-16,10:58:52,NetBadge Message - Loading Session Information,23:53:18,Search labubu - POP MART(United States),10,2,8,0,0,23:53:18
328,2025-01-17,,,,,0,0,0,0,0,
329,2025-01-18,17:44:32,NetBadge Message - Loading Session Information,22:17:22,amazon fresh richmond va - Google Maps,19,2,17,0,0,22:17:22
330,2025-01-19,19:03:13,NetBadge Message - Loading Session Information,22:57:36,fun things to do on a free winter day - Google Search,40,8,16,0,16,22:57:36
331,2025-01-20,12:15:58,SDAC Forms | Student Health and Wellness,21:15:00,Canvas LMS,27,5,22,0,0,21:15:00
332,2025-01-21,11:05:24,lean #eval - Google Search,19:08:01,YouTube,27,4,18,0,5,19:08:01
333,2025-01-22,09:51:21,popmart labubu - Google Search,23:15:26,compress image - Google Search,74,41,25,8,0,23:15:26
334,2025-01-23,11:05:41,NetBadge Message - Loading Session Information,15:56:34,Student Disability Access Center | Student Health and Wellness,19,4,15,0,0,15:56:34
335,2025-01-24,17:27:12,YouTube,22:22:59,CS 6501 Natural Language Processing (Spring 2025) - Yu Meng,74,43,19,1,11,22:22:59
336,2025-01-25,11:24:29,YouTube,21:56:11,Assignments: 25Sp Spec Top: Computer Science,50,2,37,0,11,21:56:11
337,2025-01-26,,,,,0,0,0,0,0,
338,2025-01-27,12:28:50,Job Application for Not a Real Job Application at Simplify Jobs Integration Sandbox,22:47:36,Engineering Ethics: Contemporary and Enduring Debates,327,122,35,67,103,22:47:36
339,2025-01-28,13:42:36,NetBadge Message - Loading Session Information,23:18:04,miu miu beau bag - Google Search,73,5,58,0,10,23:18:04
340,2025-01-29,10:00:01,NetBadge Message - Loading Session Information,22:24:12,Engineering Ethics: Contemporary and Enduring Debates,111,24,68,1,18,22:24:12
341,2025-01-30,11:16:54,GitHub,23:52:35,Crap Eyewear The Funk Punk Sunglasses | Urban Outfitters,48,4,14,8,22,23:52:35
342,2025-01-31,15:56:38,2/3 Paper Review - Paper 1 - Google Docs,17:02:13,Neurologic Manifestations of Long COVID Disproportionately Affect Young and Middle‐Age Adults - Choudhury - 2025 - Annals of Neurology - Wiley Online Library,16,2,14,0,0,17:02:13
343,2025-02-01,11:29:15,Instagram,19:27:45,zzb2rf_Codeathon_1.ipynb - Colab,31,5,2,9,15,19:27:45
344,2025-02-02,10:44:58,2/3 Paper Review - Paper 1 - Google Docs,12:09:36,Online LaTeX Editor Overleaf,6,2,4,0,0,12:09:36
345,2025-02-03,12:27:47,NetBadge Message - Loading Session Information,22:30:40,Topic: Question Formation Exercise #3,155,84,61,1,9,22:30:40
346,2025-02-04,10:52:46,amazon speedo goggles - Google Search,22:49:59,discourse definition - Google Search,63,22,16,0,25,22:49:59
347,2025-02-05,11:59:50,Google,23:55:40,Lean editor in VSCode,57,2,33,0,22,23:55:40
348,2025-02-06,10:57:41,ChatGPT,23:06:10,YouTube,59,20,26,0,13,23:06:10
349,2025-02-07,14:53:10,NetBadge Message - Loading Session Information,16:41:09,bae blades - Google Search,24,17,7,0,0,16:41:09
350,2025-02-08,15:23:02,The Long History of Gender Bias in Medicine | TIME,23:36:08,The Bilt Mastercard | Earn Up to 100k Points on Rent in a Calendar Year - Bilt Rewards,30,6,4,8,12,23:36:08
351,2025-02-09,11:37:16,zzb2rf_assignment_1.ipynb - Colab,22:53:22,Elaine Zhang - Paper Presentation 1 - Google Slides,46,5,9,9,23,22:53:22
352,2025-02-10,08:30:57,WebPT,22:16:03,"Inbox (7,249) - elzhang066@gmail.com - Gmail",57,17,17,6,17,22:16:03
353,2025-02-11,10:45:58,roe v. wade - Google Search,23:33:07,Elaine Zhang - Paper Presentation 1 - Google Slides,54,9,13,0,32,23:33:07
354,2025-02-12,00:06:34,Elaine Zhang - Paper Presentation 1 - Google Slides,18:01:51,"Inbox (7,675) - zzb2rf@virginia.edu - UVa Mail",59,16,25,4,14,18:01:51
355,2025-02-13,10:57:10,NetBadge Message - Loading Session Information,12:16:33,max file size in github - Google Search,4,2,2,0,0,12:16:33
356,2025-02-14,11:17:22,"Inbox (7,262) - elzhang066@gmail.com - Gmail",14:20:13,STS Paper Draft #1 & Peer Review,19,6,11,2,0,14:20:13
357,2025-02-15,13:42:37,YouTube,21:17:57,Shop Menu | Nintendo,26,1,24,1,0,21:17:57
358,2025-02-16,11:02:01,"Inbox (7,267) - elzhang066@gmail.com - Gmail",13:01:11,2005.11401,11,5,6,0,0,13:01:11
359,2025-02-17,11:04:38,Re: Itemized Statement - Elaine Zhang - elzhang066@gmail.com - Gmail,17:53:05,ipynb to pdf - Google Search,69,17,28,11,13,17:53:05
360,2025-02-18,10:46:04,when does remi ashten post - Google Search,22:41:50,elaine-zhang12/dmtl4: DMTL4: Discrete Mathematics and Theory in Lean 4,104,36,19,26,23,22:41:50
361,2025-02-19,11:21:47,YouTube,21:48:28,(25) Feed | LinkedIn,41,2,21,1,17,21:48:28
362,2025-02-20,10:44:23,"Inbox (7,270) - elzhang066@gmail.com - Gmail",22:46:58,Long Context Language Models - Google Slides,28,4,15,0,9,22:46:58
363,2025-02-21,09:14:47,nail salons - Google Search,22:08:52,Google Takeout Sleep Analysis,32,21,5,2,4,22:08:52
364,2025-02-22,09:27:35,Long Context Language Models - Google Slides,22:48:37,"Inbox (7,689) - zzb2rf@virginia.edu - UVa Mail",38,22,0,16,0,22:48:37
365,2025-02-23,12:09:35,Sign in - Google Accounts,12:54:21,Google Takeout,12,7,0,5,0,12:54:21
